EOG,GAZE_INTERPOLATED,SACC,STIM,TIME
28.697529498,NaN,10.29,NaN,-0.3
28.697529498,1.19,NaN,NaN,-0.288
28.697529498,0.08,NaN,NaN,-0.276
28.697529498,2.33,NaN,NaN,-0.264
28.697529498,3.86,NaN,NaN,-0.252
28.700847087,3.67,NaN,NaN,-0.24
28.704789729,5.86,NaN,NaN,-0.228
28.69522161,4.96,NaN,NaN,-0.216
28.69570242,3.16,NaN,NaN,-0.204
28.701087492,5.83,NaN,NaN,-0.192
28.697817984,0.69,NaN,NaN,-0.18
28.697817984,2.93,NaN,NaN,-0.168
28.697817984,4.44,NaN,NaN,-0.156
28.697817984,7.41,NaN,NaN,-0.144
28.697817984,10.38,NaN,NaN,-0.132
28.697817984,13.35,NaN,NaN,-0.12
28.723397076,16.31,NaN,NaN,-0.108
28.727964771,18.92,NaN,NaN,-0.096
28.729070634,20.05,NaN,NaN,-0.084
28.736186622,17.42,NaN,NaN,-0.072
28.730080335,17.34,NaN,NaN,-0.06
28.730080335,13.87,NaN,NaN,-0.048
28.728493662,17.02,NaN,NaN,-0.036
28.730849631,16.93,NaN,NaN,-0.024
28.730849631,16.78,NaN,NaN,-0.012
28.720464135,16.42,NaN,NaN,-0
28.728253257,16.05,NaN,-0.2,0.012
28.72791669,15.73,NaN,-0.2,0.024
28.72791669,15.44,NaN,-0.2,0.036
28.72791669,15.06,NaN,-0.2,0.048
28.721473836,14.69,NaN,-0.2,0.06
28.735369245,14.48,NaN,-0.2,0.072
28.748639601,14.18,NaN,-0.2,0.084
28.719214029,14,NaN,-0.2,0.096
28.724358696,13.59,NaN,-0.2,0.108
28.733542167,13.46,NaN,-0.2,0.12
28.733542167,11.54,-25.62,-0.2,0.132
28.710847935,7.53,NaN,-0.2,0.144
28.710847935,4.04,NaN,-0.2,0.156
28.710847935,0.55,NaN,-0.2,0.168
28.710847935,-2.93,NaN,-0.2,0.18
28.692288669,-6.42,NaN,-0.2,0.192
28.672238892,-8.73,NaN,-0.2,0.204
28.678585584,-8.6,NaN,-0.2,0.216
28.700847087,-8.33,NaN,-0.2,0.228
28.700847087,-6.51,NaN,-0.2,0.24
28.703635785,-6.71,NaN,-0.2,0.252
28.711184502,-8.32,NaN,-0.2,0.264
28.711184502,-8.48,NaN,-0.2,0.276
28.709117019,-8.69,NaN,-0.2,0.288
28.716184926,-8.91,NaN,-0.2,0.3
28.725945369,-9.89,NaN,-0.2,0.312
28.701327897,-10.88,NaN,-0.2,0.324
28.701327897,-11.44,NaN,-0.2,0.3359
28.689403809,-11.67,NaN,-0.2,0.3479
28.70868429,-11.6,NaN,-0.2,0.3599
28.70868429,-11.54,NaN,-0.2,0.3719
28.70868429,-11.42,NaN,-0.2,0.3839
28.70868429,-11.37,NaN,-0.2,0.3959
28.70868429,-11.37,NaN,-0.2,0.4079
28.716040683,-11.39,NaN,-0.2,0.4199
28.730464983,-11.39,-0.72,-0.2,0.4319
28.729695687,-13.54,NaN,-0.2,0.4439
28.729214877,-12.73,NaN,-0.2,0.4559
28.729214877,-11.32,NaN,-0.2,0.4679
28.721329593,-11.49,NaN,-0.2,0.4799
28.735225002,-11.6,NaN,-0.2,0.4919
28.735225002,-10.61,NaN,-0.2,0.5039
28.735225002,-11.22,NaN,-0.2,0.5159
28.735225002,-10.63,NaN,-0.2,0.5279
28.731859332,-10.4,NaN,-0.2,0.5399
28.740706236,-11.23,NaN,-0.2,0.5519
28.726666584,-11.16,NaN,-0.2,0.5639
28.732580547,-11.09,NaN,-0.2,0.5759
28.752534162,-11.67,NaN,-0.2,0.5879
28.752534162,-13.78,NaN,-0.2,0.5999
28.752534162,-10.95,NaN,-0.2,0.6119
28.752534162,-10.96,NaN,-0.2,0.6239
28.742966043,-10.97,NaN,-0.2,0.6359
28.742966043,-8.34,NaN,-0.2,0.6479
28.743975744,-10.87,NaN,-0.2,0.6599
28.731859332,-10.85,NaN,-0.2,0.6719
28.72935912,-10.78,NaN,-0.2,0.6839
28.742100585,-10.74,NaN,-0.2,0.6959
28.735946217,-9.6,NaN,-0.2,0.7079
28.735946217,-8.26,NaN,-0.2,0.7199
28.737869457,-10.64,NaN,-0.2,0.7319
28.750851327,-10.63,NaN,-0.2,0.7439
28.736763594,-10.64,NaN,-0.2,0.7559
28.740994722,-10.65,NaN,-0.2,0.7679
28.752630324,-10.68,NaN,-0.2,0.7799
28.75099557,-10.72,NaN,-0.2,0.7919
28.75099557,-10.39,NaN,-0.2,0.8039
28.75099557,-8.12,NaN,-0.2,0.8159
28.75099557,-10.84,NaN,-0.2,0.8279
28.75099557,-7.76,NaN,-0.2,0.8399
28.753255377,-10.58,NaN,-0.2,0.8519
28.746812523,-10.77,NaN,-0.2,0.8639
28.742437152,-10.74,NaN,-0.2,0.8759
28.757871153,-10.7,NaN,-0.2,0.8879
28.757823072,-10.63,NaN,-0.2,0.8999
28.757823072,-10.57,NaN,-0.2,0.9119
28.757005695,-10.52,NaN,-0.2,0.9239
28.759409745,-10.47,NaN,-0.2,0.9359
28.759409745,-10.41,NaN,-0.2,0.9479
28.752870729,-10.37,NaN,-0.2,0.9599
28.750707084,-10,NaN,-0.2,0.9719
28.756044075,-7.69,NaN,-0.2,0.9839
28.756044075,-10.2,NaN,-0.2,0.9959
28.746860604,-10.21,NaN,-0.2,1.0079
28.759890555,-10.19,NaN,-0.2,1.0199
28.759890555,-10.16,NaN,-0.53,1.0319
28.758255801,-10.15,NaN,-0.53,1.0439
28.744023825,-10.15,NaN,-0.53,1.0559
28.735561569,-10.14,NaN,-0.53,1.0679
28.735561569,-10.14,NaN,-0.53,1.0799
28.750803246,-9.34,NaN,-0.53,1.0919
28.750947489,-9.9,NaN,-0.53,1.1039
28.750947489,-11.06,NaN,-0.53,1.1159
28.746043227,-10.23,NaN,-0.53,1.1279
28.746043227,-10.27,NaN,-0.53,1.1399
28.746043227,-10.3,NaN,-0.53,1.1519
28.746043227,-10.45,NaN,-0.53,1.1639
28.748303034,-12.08,-18.12,-0.53,1.1759
28.74089856,-16.75,NaN,-0.53,1.1879
28.712963499,-19.35,NaN,-0.53,1.1999
28.718396652,-21.47,NaN,-0.53,1.2119
28.70724186,-23.59,NaN,-0.53,1.2239
28.710367125,-25.71,NaN,-0.53,1.2359
28.686999759,-28.88,NaN,-0.53,1.2479
28.699645062,-28.02,NaN,-0.53,1.2599
28.683489846,-28.1,NaN,-0.53,1.2719
28.689548052,-28.18,NaN,-0.53,1.2839
28.695029286,-27.12,NaN,-0.53,1.2959
28.691567454,-27.52,NaN,-0.53,1.3079
28.691567454,-28.49,NaN,-0.53,1.3199
28.691567454,-28.59,NaN,-0.53,1.3319
28.695077367,-28.66,NaN,-0.53,1.3439
28.694115747,-28.79,NaN,-0.53,1.3559
28.70483781,-28.87,NaN,-0.53,1.3679
28.7091651,-30.04,NaN,-0.53,1.3799
28.666613415,-31.06,NaN,-0.53,1.3919
28.672912026,-29.96,NaN,-0.53,1.4039
28.687576731,-29.14,NaN,-0.53,1.4159
28.686999759,-27.39,NaN,-0.53,1.4279
28.686999759,-27.86,NaN,-0.53,1.4399
28.691952102,-30.13,-1.72,-0.53,1.4519
28.708732371,-31.39,NaN,-0.53,1.4639
28.708732371,-32.27,NaN,-0.53,1.4759
28.678104774,-30.26,NaN,-0.53,1.4879
28.676325777,-28.39,NaN,-0.53,1.4999
28.697385255,-31.15,NaN,-0.53,1.5119
28.697385255,-28.05,NaN,-0.53,1.5239
28.697385255,-30.45,NaN,-0.53,1.5359
28.689884619,-30.55,NaN,-0.53,1.5479
28.688201784,-30.64,NaN,-0.53,1.5599
28.692865641,-30.7,NaN,-0.53,1.5719
28.692865641,-28.72,NaN,-0.53,1.5838
28.692865641,-32.83,NaN,-0.53,1.5958
28.691807859,-30.82,NaN,-0.53,1.6078
28.691807859,-30.78,NaN,-0.53,1.6198
28.704357,-32.03,NaN,-0.53,1.6318
28.692432912,-32.84,NaN,-0.53,1.6438
28.69233675,-30.68,NaN,-0.53,1.6558
28.689115323,-28.13,NaN,-0.53,1.6678
28.67935488,-33.42,NaN,-0.53,1.6798
28.691086644,-32.8,NaN,-0.53,1.6918
28.686038139,-30.28,NaN,-0.53,1.7038
28.686038139,-30.13,NaN,-0.53,1.7158
28.686038139,-30.53,NaN,-0.53,1.7278
28.685701572,-32.23,NaN,-0.53,1.7398
28.685701572,-29.79,NaN,-0.53,1.7518
28.697337174,-29.72,NaN,-0.53,1.7638
28.688922999,-29.7,NaN,-0.53,1.7758
28.688297946,-29.69,NaN,-0.53,1.7878
28.68272055,-29.68,NaN,-0.53,1.7998
